year,total_bn
2017,31.77829828107
2018,33.650060239119995
2019,34.82115550343
2020,48.10063724016
2021,99.61716642654001
2022,43.75404379814
2023,39.417682760809996
2024,39.4427799663
2025,38.73435178338
2026,9.35892257589
