title,author,state,district,ban_type,origin,date,year,month
Too Many Tamales,"Soto, Gary",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Gets a Cat (Lola Series),"McQuinn, Anna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Marisol McDonald Doesn't Match (Marisol McDonald Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"The Trouble with Black Boys: And Other Reflections on Race, Equity, and the Future of Public Education","Noguera, Pedro A.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Wings,"Myers, Christopher",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Under My Hijab,"Khan, Hena",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Islandborn,"Díaz, Junot",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Beware the Werewolf (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
What Is the Women's Rights Movement? (What was...? Series),"Hopkinson, Deborah",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Day You Begin,"Woodson, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Stamped: Racism, Antiracism, and You","Reynolds, Jason",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Harlem's Little Blackbird: The Story of Florence Mills,"Watson, Renée",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
I Am Every Good Thing,"Barnes, Derrick",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ven a Mi Casa,"Seuss, Dr.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
My Name Is Celia: The Life Of Celia Cruz / Me Llamo Celia: La Vida de Celia Cruz,"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,"Bildner, Phil",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Malala Yousafzai (A True Book: Biographies),"Doak, Robin S.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Promoting Racial Literacy in Schools: Differences That Make a Difference,"Stevenson, Howard C.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Jesse Owens? (Who was...? Series),"Buckley Jr., James",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Drum Dream Girl: How One Girl's Courage Changed Music,"Engle, Margarita",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Arabic Quilt: An Immigrant Story,"Khalil, Aya",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Prince & Knight (Prince & Knight Series),"Haack, Daniel",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Noah Chases the Wind,"Worthington, Michelle",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lily and Dunkin,"Gephart, Donna",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,"España, Carla",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us,"Steele, Claude M.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
What Was the Underground Railroad? (What was...? Series),"McDonough, Yona Zeldis",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Colors of Us/Los colores de nuestra piel,"Katz, Karen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Who Was Aretha Franklin? (Who was...? Series),"Medina, Nico",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Courageous Conversations About Race: A Field Guide for Achieving Equity in Schools and Beyond,"Singleton, Glenn E.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Between the World and Me,"Coates, Ta-Nehisi",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Hidden Figures: The True Story of Four Black Women and the Space Race,"Shetterly, Margot Lee",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx,"Winter, Jonah",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Starstruck: The Cosmic Journey of Neil Degrasse Tyson,"Krull, Kathleen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Home of the Brave: 15 Immigrants Who Shaped U.S. History,"Khan, Brooke",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Peaceful Fights for Equal Rights,"Sanders, Rob",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Vampire Ate My Homework (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
As Brave As You,"Reynolds, Jason",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Read the World: Rethinking Literacy for Empathy and Action in a Digital Age,"Ziemke, Kristin",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Cilla Lee-Jenkins: Future Author Extraordinaire (Cilla Lee-Jenkins Series),"Tan, Susan",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Levine and the Vacation Dream (Lola Levine Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
King & Kayla and the Case of the Lost Library Book (King & Kayla Series),"Butler, Dori Hillestad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Crown: An Ode to the Fresh Cut,"Barnes, Derrick",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
What Was the March on Washington? (What was...? Series),"Krull, Kathleen",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"They, She, He Easy as ABC","Gonzalez, Maya Christina",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Red Kite, Blue Kite","Jiang, Ji-li",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Let the Children March,"Clark-Robinson, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
King & Kayla and the Case of the Unhappy Neighbor (King & Kayla Series),"Butler, Dori Hillestad",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Little Legends: Exceptional Men in Black History,"Harrison, Vashti",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Knock Knock: My Dad's Dream for Me,"Beaty, Daniel",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Those Shoes,"Boelts, Maribeth",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Yasmin the Builder (Yasmin Series),"Faruqi, Saadia",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Mindy Kim, Class President (Mindy Kim Series)","Lee, Lyla",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Bayou Magic (The Louisiana Girls Trilogy Series),"Rhodes, Jewell Parker",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor","Saad, Layla F.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Like the Moon Loves the Sky,"Khan, Hena",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Night of the Zombie Zookeeper (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Full, Full, Full of Love","Cooke, Trish",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
My Vida Loca (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lights Out (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Mindy Kim and the Big Pizza Challenge (Mindy Kim Series),"Lee, Lyla",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Major Monster Mess (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Beach Trip (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,"Bardoe, Cheryl",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Milo's Museum,"Elliott, Zetta",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Iguales, pero diferentes (Same, Same But Different)","Kostecki-Shaw, Jenny Sue",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Blindspot: Hidden Biases of Good People,"Banaji, Mahzarin R.",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Amnesty International,Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
A Good Kind of Trouble,"Ramée, Lisa Moore",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Mommy Sayang: Pixar Animation Studios Artist Showcase,"Sullivan, Rosana",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lola Levine and the Halloween Scream (Lola Levine Series),"Brown, Monica",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Haunted House Next Door (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Ghost (Track Series),"Reynolds, Jason",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Undefeated,"Alexander, Kwame",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Lubna and Pebble,"Meddour, Wendy",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Scary Library Shusher (Desmond Cole Ghost Patrol Series),"Miedoso, Andrés",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Up, Up, Down!","Munsch, Robert",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
A Big Mooncake for Little Star,"Lin, Grace",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
The Parker Inheritance,"Johnson, Varian",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"Lights, Music, Code! (Girls Who Code Series)","Whittemore, Jo",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
Picture Perfect (Sofía Martínez Series),"Jules, Jacqueline",Pennsylvania,Central York School District,Banned in Classrooms,Administrator,2021-08-01,2021,2021-08
"It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends","Harris, Robie H.",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Promposal,"Helms, Rhonda",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Far from Xanadu,"Peters, Julie Anne",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Identity and Gender,"Ogden, Charlie",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Big Guy,"Stevenson, Robin",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Boy Girl Boy,"Koertge, Ron",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Freakboy,"Clark, Kristin Elizabeth",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Becoming Nicole: The inspiring story of transgender actor-activist Nicole Maines and her extraordinary family,"Nutt, Amy Ellis",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Saga, Volume 1 (Saga Series)","Vaughan, Brian K.",Illinois,Lake Forest Schools,Banned in Libraries,Formal Challenge,2021-12-01,2021,2021-12
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Life at School and in the Community (Teens: Being Gay, Lesbian, Bisexual, or Transgender)","Worth, Richard",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
All American Boys,"Reynolds, Jason",Indiana,Middlebury Community Schools,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Crossing Lines,"Volponi, Paul",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Out of Darkness,"Pérez, Ashley Hope",Indiana,Middlebury Community Schools,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Staying Fat for Sarah Byrnes,"Crutcher, Chris",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Stars and the Blackness Between Them,"Petrus, Junauda",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Shout,"Anderson, Laurie Halse",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Gravity of Us,"Stamper, Phil",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
How to Be an Antiracist,"Kendi, Ibram X.",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The You I've Never Known,"Hopkins, Ellen",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Gender Equality (Foundations of Democracy),"des Neiges Léonard, Marie",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Sparkle Boy,"Newman, Lesléa",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Infinity Son (Infinity Cycle Series),"Silvera, Adam",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Lawn Boy,"Evison, Jonathan",Texas,Lamar Consolidated Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Love Interest,"Dietrich, Cale",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Final Takedown,"Sherrard, Brent R.",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Girl Made of Stars,"Blake, Ashley Herring",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Bridge,"Konigsberg, Bill",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Sex, Puberty, and All That Stuff: A Guide to Growing Up","Bailey, Jacqui",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
The Abortion Debate (Essential Viewpoints),"Farrell, Courtney",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present","Garden, Nancy",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
My Life as a Diamond,"Manzer, Jenny",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Reverie,"La Sala, Ryan",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
As Far As You'll Take Me,"Stamper, Phil",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Jumpstart the World,"Hyde, Catherine Ryan",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Five Stages of Andrew Brawley,"Hutchinson, Shaun David",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Nate Expectations,"Federle, Tim",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Gender Queer: A Memoir,"Kobabe, Maia",Illinois,Community High School District 117,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Truth Is,"Ramos, NoNieqa",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Fancy White Trash,"Geerling, Marjetta",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
My Girlfriend's Pregnant!: A Teen’s Guide to Becoming a Dad,"Shantz-Hilkes, Chloe",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Archenemy,"Hoblin, Paul",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
A Love Story Starring My Dead Best Friend,"Horner, Emily",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Remake (Remake Series),"Todd, Ilima",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Gracefully Grayson,"Polonsky, Ami",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
If You Could Be Mine,"Farizan, Sara",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
After,"Efaw, Amy",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Equal Rights,"O'Connor, Maureen",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
LGBT Families (Changing Families),"Currie-McGhee, Leanna",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Cemetery Boys,"Thomas, Aiden",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
A Line in the Dark,"Lo, Malinda",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Gender Identity: The Search for Self,"Light, Kate",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Love Curse of Melody McIntyre,"Talley, Robin",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Freaks and Revelations,"Hurwin, Davida Wills",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Teen Pregnancy,"Cassedy, Patrice",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
One Half from the East,"Hashimi, Nadia",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Identifying as Transgender,"Woods, Sara",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Empress of the World (Battle Hall Davies Series),"Ryan, Sara",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
The Music of What Happens,"Konigsberg, Bill",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Under the Moon: A Catwoman Tale,"Myracle, Lauren",Wisconsin,School District of Waukesha,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Jacob's New Dress,"Hoffman, Sarah",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Pet,"Emezi, Akwaeke",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination","Seba, Jaime A.",Texas,Klein Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Of Fire and Stars (Of Fire and Stars Series),"Coulthurst, Audrey",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Geography Club (Russel Middlebrook Series),"Hartinger, Brent",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Edge of the Abyss (The Abyss Surrounds Us Series),"Skrutskie, Emily",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
We March,"Evans, Shane W.",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Wide Awake,"Levithan, David",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
They Both Die at the End,"Silvera, Adam",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Odd One Out,"Stone, Nic",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Great American Whatever,"Federle, Tim",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Juliet Takes a Breath,"Rivera, Gabby",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Forget This Ever Happened,"Clarke, Cassandra Rose",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Jack of Hearts (and other parts),"Rosen, L. C.",Texas,Lamar Consolidated Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Image and Identity: Becoming the Person You Are,"Gowen, L. Kris",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Jack of Hearts (and other parts),"Rosen, L. C.",Texas,Cypress-Fairbanks Independent School District,Banned in Libraries and Classrooms,Administrator,2021-12-01,2021,2021-12
Doing It!: Let's Talk About Sex,"Witton, Hannah",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Ho'onani: Hula Warrior,"Gale, Heather",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
With Or Without You,"Farrey, Brian",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Notes from the Blender,"Cook, Trish",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
How to Be Bad,"Myracle, Lauren",Wisconsin,School District of Waukesha,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Grasshopper Jungle (Grasshopper Jungle Series),"Smith, Andrew",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Ziggy, Stardust and Me","Brandon, James",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Cradle and All,"Patterson, James",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Reluctantly Alice (Alice Series),"Naylor, Phyllis Reynolds",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Pants Project,"Clarke, Cat",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Stick,"Smith, Andrew",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
Should Abortion Be Legal?,"Mooney, Carla",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Glass Castle,"Walls, Jeannette",Wisconsin,School District of Waukesha,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
"#Hockey (Check, Please! Series)","Ukazu, Ngozi",Georgia,Forsyth County Schools,Banned in Libraries and Classrooms,Formal Challenge,2021-12-01,2021,2021-12
The Way Back,"Mac, Carrie",Texas,North East Independent School District,Banned in Libraries,Administrator,2021-12-01,2021,2021-12
The Love and Lies of Rukhsana Ali,"Khan, Sabina",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
This Is Your Time,"Bridges, Ruby",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Ordinary Hazards,"Grimes, Nikki",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
The Best Man,"Peck, Richard",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"She Loves You, She Loves You Not...","Peters, Julie Anne",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
If I Was Your Girl,"Russo, Meredith",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
All the Things We Do in the Dark,"Mitchell, Saundra",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
"A Very, Very Bad Thing","Self, Jeffery",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Whatever.: or how junior year became totally f$@ked,"Goslee, S. J.",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Dreadnought (H.I.V.E. Series),"Walden, Mark",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Redwood and Ponytail,"Holt, K. A.",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Into the Real,"Brewer, Z",Texas,North East Independent School District,Banned Pending Investigation,Administrator,2021-12-01,2021,2021-12
Tricks (Tricks Series),"Hopkins, Ellen",Florida,St. Lucie Public Schools,Banned in Libraries and Classrooms,Formal Challenge,2021-12-01,2021,2021-12
