title,author,state,district,ban_type,origin,date,year,month
The Family Book,"Parr, Todd",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
I am Jazz,"Jennings, Jazz",Florida,Palm Beach County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Jack of Hearts (and other parts),"Rosen, L. C.",Texas,Frisco Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Iowa,Ottumwa Community School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Fun Home: A Family Tragicomic,"Bechdel, Alison",Michigan,Rochester Community Schools District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
"Love, Hate & Other Filters","Ahmed, Samira",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Nineteen Minutes,"Picoult, Jodi",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
Doing It!: Let's Talk About Sex,"Witton, Hannah",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Truth About Alice: A Novel,"Mathieu, Jennifer",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
This Book Is Gay,"Dawson, Juno",Texas,Cypress-Fairbanks Independent School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The Haters,"Andrews, Jesse",Michigan,Rochester Community Schools District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
grl2grl,"Peters, Julie Anne",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Gender Queer: A Memoir,"Kobabe, Maia",New York,Connetquot Central School District,Banned Pending Investigation,Formal Challenge,2022-04-01,2022,2022-04
Flamer,"Curato, Mike",Florida,Palm Beach County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
A Peacock Among Pigeons,"Curry, Tyler",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Fifty Shades of Grey (Fifty Shades Series),"James, E. L.",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
A Day in the Life of Marlon Bundo,"Twiss, Jill",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Purim Superhero,"Kushner, Elisabeth",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Beautiful Bastard (Beautiful Bastard Series),"Lauren, Christina",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
All American Boys,"Reynolds, Jason",Mississippi,Madison County Schools,Banned in Libraries,Administrator,2022-04-01,2022,2022-04
Fates and Furies,"Groff, Lauren",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
Drama: A Graphic Novel,"Telgemeier, Raina",Florida,Jackson County School District,Banned in Libraries and Classrooms,Administrator,2022-04-01,2022,2022-04
The God of Small Things,"Roy, Arundhati",Florida,Walton County School District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Handmaid's Tale,"Atwood, Margaret",Michigan,Rochester Community Schools District,Banned Pending Investigation,Administrator,2022-04-01,2022,2022-04
The Parker Inheritance,"Johnson, Varian",North Carolina,Wilkes County School District,Banned in Classrooms,Administrator,2022-04-01,2022,2022-04
Out of Darkness,"Pérez, Ashley Hope",Texas,Clear Creek Independent School District,Banned in Classrooms,Administrator,2022-04-01,2022,2022-04
