country_name,country_text_id,country_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_regime,v2xca_academ,regime_label
Somalia,SOM,130,2025,0.165,0.128,0.095,0.189,0.099,0.0,0.494,Closed Autocracy
Sri Lanka,LKA,131,2025,0.783,0.613,0.52,0.621,0.587,2.0,0.828,Electoral Democracy
Eswatini,SWZ,132,2025,0.128,0.097,0.11,0.064,0.077,0.0,0.179,Closed Autocracy
Tajikistan,TJK,133,2025,0.158,0.043,0.059,0.048,0.06,1.0,0.082,Electoral Autocracy
Togo,TGO,134,2025,0.351,0.157,0.233,0.288,0.241,1.0,0.609,Electoral Autocracy
Trinidad and Tobago,TTO,135,2025,0.786,0.668,0.505,0.602,0.661,3.0,0.866,Liberal Democracy
Turkmenistan,TKM,136,2025,0.148,0.034,0.033,0.028,0.087,0.0,0.064,Closed Autocracy
Palestine/Gaza,PSG,138,2025,0.128,0.058,0.071,0.045,0.117,0.0,0.105,Closed Autocracy
Somaliland,SML,139,2025,0.445,0.297,0.268,0.301,0.193,1.0,0.709,Electoral Autocracy
Uzbekistan,UZB,140,2025,0.218,0.079,0.082,0.154,0.153,0.0,0.248,Closed Autocracy
Austria,AUT,144,2025,0.839,0.757,0.582,0.729,0.723,3.0,0.881,Liberal Democracy
Bahrain,BHR,146,2025,0.139,0.062,0.054,0.06,0.127,0.0,0.199,Closed Autocracy
Barbados,BRB,147,2025,0.797,0.679,0.347,0.712,0.676,3.0,0.904,Liberal Democracy
Belgium,BEL,148,2025,0.889,0.794,0.633,0.775,0.821,3.0,0.946,Liberal Democracy
Bosnia and Herzegovina,BIH,150,2025,0.498,0.339,0.298,0.329,0.359,1.0,0.75,Electoral Autocracy
Bulgaria,BGR,152,2025,0.599,0.499,0.397,0.474,0.442,2.0,0.85,Electoral Democracy
Comoros,COM,153,2025,0.293,0.132,0.2,0.126,0.222,1.0,0.303,Electoral Autocracy
Croatia,HRV,154,2025,0.686,0.593,0.459,0.499,0.543,2.0,0.811,Electoral Democracy
Cuba,CUB,155,2025,0.176,0.057,0.054,0.097,0.224,0.0,0.084,Closed Autocracy
Cyprus,CYP,156,2025,0.773,0.664,0.49,0.613,0.684,3.0,0.889,Liberal Democracy
Czechia,CZE,157,2025,0.849,0.794,0.562,0.703,0.767,3.0,0.978,Liberal Democracy
Denmark,DNK,158,2025,0.913,0.884,0.7,0.867,0.876,3.0,0.875,Liberal Democracy
Equatorial Guinea,GNQ,160,2025,0.172,0.047,0.041,0.045,0.108,1.0,0.108,Electoral Autocracy
Estonia,EST,161,2025,0.887,0.837,0.621,0.758,0.81,3.0,0.974,Liberal Democracy
Fiji,FJI,162,2025,0.507,0.398,0.265,0.406,0.37,2.0,0.636,Electoral Democracy
Finland,FIN,163,2025,0.852,0.808,0.597,0.762,0.707,3.0,0.818,Liberal Democracy
Greece,GRC,164,2025,0.741,0.568,0.493,0.61,0.64,2.0,0.68,Electoral Democracy
Guyana,GUY,166,2025,0.515,0.328,0.283,0.245,0.38,2.0,0.761,Electoral Democracy
Hong Kong,HKG,167,2025,0.151,0.142,0.049,0.057,0.219,0.0,0.237,Closed Autocracy
Iceland,ISL,168,2025,0.807,0.72,0.565,0.703,0.728,3.0,0.756,Liberal Democracy
Israel,ISR,169,2025,0.694,0.588,0.455,0.511,0.549,2.0,0.84,Electoral Democracy
Kuwait,KWT,171,2025,0.138,0.127,0.053,0.176,0.171,0.0,0.418,Closed Autocracy
Lithuania,LTU,173,2025,0.786,0.712,0.56,0.662,0.686,3.0,0.823,Liberal Democracy
Luxembourg,LUX,174,2025,0.869,0.777,0.556,0.824,0.81,3.0,0.918,Liberal Democracy
North Macedonia,MKD,176,2025,0.562,0.374,0.354,0.372,0.373,2.0,0.664,Electoral Democracy
Malaysia,MYS,177,2025,0.504,0.355,0.303,0.364,0.38,2.0,0.289,Electoral Democracy
Malta,MLT,178,2025,0.783,0.621,0.529,0.642,0.694,2.0,0.874,Electoral Democracy
Mauritius,MUS,180,2025,0.738,0.639,0.481,0.663,0.576,2.0,0.592,Electoral Democracy
Montenegro,MNE,183,2025,0.636,0.5,0.403,0.521,0.501,2.0,0.824,Electoral Democracy
New Zealand,NZL,185,2025,0.849,0.787,0.581,0.644,0.726,3.0,0.847,Liberal Democracy
Norway,NOR,186,2025,0.89,0.847,0.638,0.863,0.844,3.0,0.854,Liberal Democracy
Oman,OMN,187,2025,0.175,0.14,0.12,0.073,0.174,0.0,0.215,Closed Autocracy
Paraguay,PRY,189,2025,0.581,0.376,0.342,0.315,0.241,2.0,0.703,Electoral Democracy
Romania,ROU,190,2025,0.605,0.464,0.416,0.294,0.424,2.0,0.754,Electoral Democracy
Sao Tome and Principe,STP,196,2025,0.632,0.519,0.391,0.416,0.448,2.0,0.636,Electoral Democracy
Saudi Arabia,SAU,197,2025,0.016,0.047,0.026,0.072,0.113,0.0,0.066,Closed Autocracy
Serbia,SRB,198,2025,0.3,0.208,0.217,0.208,0.276,1.0,0.598,Electoral Autocracy
Seychelles,SYC,199,2025,0.76,0.68,0.341,0.703,0.632,3.0,0.931,Liberal Democracy
Singapore,SGP,200,2025,0.434,0.36,0.121,0.353,0.37,1.0,0.466,Electoral Autocracy
Slovakia,SVK,201,2025,0.733,0.573,0.508,0.362,0.566,2.0,0.807,Electoral Democracy
Slovenia,SVN,202,2025,0.692,0.589,0.506,0.612,0.604,2.0,0.937,Electoral Democracy
Solomon Islands,SLB,203,2025,0.696,0.539,0.429,0.395,0.439,2.0,0.9,Electoral Democracy
Vanuatu,VUT,206,2025,0.729,0.623,0.323,0.467,0.565,2.0,0.909,Electoral Democracy
United Arab Emirates,ARE,207,2025,0.104,0.077,0.031,0.082,0.124,0.0,0.195,Closed Autocracy
Hungary,HUN,210,2025,0.421,0.315,0.268,0.178,0.296,1.0,0.299,Electoral Autocracy
Zanzibar,ZZB,236,2025,0.309,0.253,0.17,0.223,0.244,1.0,0.232,Electoral Autocracy
