year,regime_label,count,share
1931,Closed Autocracy,109,0.7218543046357616
1931,Electoral Autocracy,20,0.13245033112582782
1931,Electoral Democracy,13,0.08609271523178808
1931,Liberal Democracy,9,0.059602649006622516
1932,Closed Autocracy,105,0.7046979865771812
1932,Electoral Autocracy,21,0.14093959731543623
1932,Electoral Democracy,14,0.09395973154362416
1932,Liberal Democracy,9,0.06040268456375839
1933,Closed Autocracy,107,0.7181208053691275
1933,Electoral Autocracy,22,0.1476510067114094
1933,Electoral Democracy,11,0.0738255033557047
1933,Liberal Democracy,9,0.06040268456375839
1934,Closed Autocracy,112,0.7466666666666667
1934,Electoral Autocracy,20,0.13333333333333333
1934,Electoral Democracy,9,0.06
1934,Liberal Democracy,9,0.06
1935,Closed Autocracy,116,0.7682119205298014
1935,Electoral Autocracy,17,0.11258278145695365
1935,Electoral Democracy,9,0.059602649006622516
1935,Liberal Democracy,9,0.059602649006622516
1936,Closed Autocracy,117,0.7748344370860927
1936,Electoral Autocracy,17,0.11258278145695365
1936,Electoral Democracy,8,0.052980132450331126
1936,Liberal Democracy,9,0.059602649006622516
1937,Closed Autocracy,117,0.7748344370860927
1937,Electoral Autocracy,17,0.11258278145695365
1937,Electoral Democracy,8,0.052980132450331126
1937,Liberal Democracy,9,0.059602649006622516
1938,Closed Autocracy,115,0.7615894039735099
1938,Electoral Autocracy,19,0.12582781456953643
1938,Electoral Democracy,8,0.052980132450331126
1938,Liberal Democracy,9,0.059602649006622516
1939,Closed Autocracy,115,0.7718120805369127
1939,Electoral Autocracy,17,0.11409395973154363
1939,Electoral Democracy,8,0.053691275167785234
1939,Liberal Democracy,9,0.06040268456375839
1940,Closed Autocracy,116,0.7945205479452054
1940,Electoral Autocracy,18,0.1232876712328767
1940,Electoral Democracy,6,0.0410958904109589
1940,Liberal Democracy,6,0.0410958904109589
1941,Closed Autocracy,117,0.7959183673469388
1941,Electoral Autocracy,18,0.12244897959183673
1941,Electoral Democracy,6,0.04081632653061224
1941,Liberal Democracy,6,0.04081632653061224
1942,Closed Autocracy,117,0.8013698630136986
1942,Electoral Autocracy,18,0.1232876712328767
1942,Electoral Democracy,5,0.03424657534246575
1942,Liberal Democracy,6,0.0410958904109589
1943,Closed Autocracy,116,0.7945205479452054
1943,Electoral Autocracy,20,0.136986301369863
1943,Electoral Democracy,4,0.0273972602739726
1943,Liberal Democracy,6,0.0410958904109589
1944,Closed Autocracy,119,0.8095238095238095
1944,Electoral Autocracy,18,0.12244897959183673
1944,Electoral Democracy,3,0.02040816326530612
1944,Liberal Democracy,7,0.047619047619047616
1945,Closed Autocracy,116,0.7785234899328859
1945,Electoral Autocracy,21,0.14093959731543623
1945,Electoral Democracy,5,0.03355704697986577
1945,Liberal Democracy,7,0.04697986577181208
1946,Closed Autocracy,110,0.7333333333333333
1946,Electoral Autocracy,23,0.15333333333333332
1946,Electoral Democracy,5,0.03333333333333333
1946,Liberal Democracy,12,0.08
1947,Closed Autocracy,101,0.6644736842105263
1947,Electoral Autocracy,32,0.21052631578947367
1947,Electoral Democracy,6,0.039473684210526314
1947,Liberal Democracy,13,0.08552631578947369
1948,Closed Autocracy,104,0.6709677419354839
1948,Electoral Autocracy,30,0.1935483870967742
1948,Electoral Democracy,8,0.05161290322580645
1948,Liberal Democracy,13,0.08387096774193549
1949,Closed Autocracy,108,0.6923076923076923
1949,Electoral Autocracy,25,0.16025641025641027
1949,Electoral Democracy,8,0.05128205128205128
1949,Liberal Democracy,15,0.09615384615384616
1950,Closed Autocracy,103,0.6645161290322581
1950,Electoral Autocracy,28,0.18064516129032257
1950,Electoral Democracy,9,0.05806451612903226
1950,Liberal Democracy,15,0.0967741935483871
1951,Closed Autocracy,103,0.6602564102564102
1951,Electoral Autocracy,29,0.1858974358974359
1951,Electoral Democracy,9,0.057692307692307696
1951,Liberal Democracy,15,0.09615384615384616
1952,Closed Autocracy,102,0.6538461538461539
1952,Electoral Autocracy,28,0.1794871794871795
1952,Electoral Democracy,10,0.0641025641025641
1952,Liberal Democracy,16,0.10256410256410256
1953,Closed Autocracy,102,0.6538461538461539
1953,Electoral Autocracy,28,0.1794871794871795
1953,Electoral Democracy,10,0.0641025641025641
1953,Liberal Democracy,16,0.10256410256410256
1954,Closed Autocracy,100,0.6410256410256411
1954,Electoral Autocracy,30,0.19230769230769232
1954,Electoral Democracy,10,0.0641025641025641
1954,Liberal Democracy,16,0.10256410256410256
1955,Closed Autocracy,97,0.6217948717948718
1955,Electoral Autocracy,32,0.20512820512820512
1955,Electoral Democracy,11,0.07051282051282051
1955,Liberal Democracy,16,0.10256410256410256
1956,Closed Autocracy,94,0.6025641025641025
