year,v2xca_academ,v2x_libdem,v2x_polyarchy,total_bn,ban_count
2017,0.908,0.749,0.834,31.77829828107,0
2018,0.905,0.739,0.824,33.650060239119995,0
2019,0.905,0.74,0.818,34.82115550343,0
2020,0.889,0.734,0.815,48.10063724016,0
2021,0.766,0.756,0.821,99.61716642654001,1383
2022,0.748,0.769,0.833,43.75404379814,1149
2023,0.695,0.789,0.857,39.417682760809996,0
2024,0.677,0.751,0.843,39.4427799663,0
2025,0.397,0.571,0.735,38.73435178338,0
